actor,films_cnt,actors_cnt
Christopher Heyerdahl,1,3
Christopher Lloyd,3,7
Christopher Mintz-Plasse,1,3
Christopher Plummer,6,17
Christopher Reeve,1,3
Christopher Rivera,1,3
Christopher Walken,3,9
Chulpan Khamatova,1,3
Ciarán Hinds,2,6
Cillian Murphy,1,3
Claire Bloom,1,3
Claire Danes,1,3
Claire Maurier,1,3
Claire Rushbrook,1,3
Claire Trevor,1,3
Clark Gable,2,6
Claude Rains,4,11
Claudette Colbert,1,3
Claudia Cardinale,3,9
Cleavon Little,1,3
Clifton Powell,1,3
Clifton Webb,1,3
Clint Eastwood,12,33
Clive Owen,4,12
Coleen Gray,1,3
Colin Clive,2,5
Colin Farrell,2,6
Colin Firth,3,9
Colm Feore,1,3
Connie Nielsen,1,3
Conrad Veidt,1,3
Corey Feldman,2,6
Corey Hawkins,1,3
Cori Gonzalez-Macuer,1,2
Craig Bierko,1,3
Craig Ferguson,1,3
Craig Parkinson,1,3
Craig T. Nelson,2,5
Crispin Glover,2,6
Cuba Gooding Jr.,2,6
Cuifen Cao,1,3
Curt Bois,1,3
Cybill Shepherd,2,6
Cyril Cusack,1,3
Dafne Keen,1,3
Daisuke Ryû,1,3
Daisy Ridley,1,3
Dakota Fanning,3,9
Dakota Johnson,1,3
Dalia Hernández,1,3
Damian Chapa,1,3
Dan Aykroyd,2,6
Dan Hedaya,1,3
Dan Hicks,1,3
Dan Riba,1,3
Dana Andrews,2,6
Dana Wynter,1,3
Danai Gurira,1,3
Daniel Boulanger,1,3
Daniel Brühl,2,6
Daniel Craig,4,11
Daniel Day-Lewis,4,12
Daniel Giménez Cacho,1,3
Daniel Kaluuya,1,3
Daniel Mays,1,3
Daniel Prévost,1,3
Daniel Radcliffe,6,8
Daniel Richter,1,3
Daniel Stern,1,3
Danielle Proulx,1,3
Danny Aiello,3,9
Danny Denzongpa,1,3
Danny Elfman,1,3
Danny Glover,3,9
Danny Huston,1,3
Danny Lee,1,3
Danny Lloyd,1,3
Dara Singh,1,3
Darren McGavin,1,3
Darryl F. Zanuck,1,3
Darsheel Safary,1,3
Daryl Hannah,2,3
Darío Grandinetti,2,6
Dave Bautista,2,6
Dave Goelz,1,3
Dave Johns,1,3
Daveigh Chase,1,3
David Carradine,2,3
David Della Rocco,1,3
David Emge,1,3
David Hand,1,3
David Hemmings,1,3
David Herman,1,3
David James,1,3
David Lee Smith,1,3
David Morse,2,6
David Rawle,1,3
David Silverman,1,3
David Thewlis,2,6
David Tomlinson,1,3
David Wenham,1,3
David Zucker,1,3
Davor Dujmovic,1,3
DeForest Kelley,1,3
Dean Martin,1,3
Dean Stockwell,1,3
Dean-Charles Chapman,1,3
